keyword,sentence
정상,"이 상황에 웃음이 나오다니, 정상이 아니긴 한가 보다."
조사,현장에서 함께 발견된 또 다른 MCS 어린이 C는 입을 다문 채 조사에 응하지 않았다.
조사,생포될 때 C의 모습이 과수원 CCTV에 찍힌 잿빛 괴물과 유사해 추후 조사를 받을 예정이다.
조사,더 조사할 필요도 없다는 거죠.
조사,"경찰 조사 과정에서 받은 부당한 대우와 조사 과정을 짚고, 알릴 거라고 했다."
지원,MCS들을 지원하는 단체가 있다고 했다.
집중,그런데 아침에 약을 두 배로 먹었더니 졸음이 쏟아져 수업에 집중할 수가 없었다.
집중,"병원은 MCS를 억제하는 데에 집중하죠, 치료할 수 있다고 믿으면서요."
집중,"엄마는 요즘 우리가 잘 지내 주어 일에 집중할 수 있다며, 일할 맛이 난다고 했다."
집중,여기서는 함께 시간을 보내는 데 집중했다.
집중,그 느낌에 집중해.
집중,전조 증상이 일어날 때의 느낌에 집중하란 얘기였다.
처리,밀려 있던 택배를 전부 처리해야 하니.
처리,"보육원은 뒤집어졌고, 원장님은 원칙대로 연우를 처리하려 했단다."
통과,저길 통과하면 마치 공항의 엑스레이 검색대처럼 내 정체가 낱낱이 드러날 것만 같다.
통과,해외에서 구매한 물품에 문제가 생겨 세관을 통과하지 못하고 있다고 했다.
통제,가끔 인터넷에는 통제되지 않는 MCS 환자들이 사람들을 공격한다는 말이 떠돌았다.
통제,통제할 수 없는 MCS는 일정 기간이 지나도 입양자가 나타나지 않으면 영원히 격리 시설에 가둔다는 원칙.
통제,"승아 때문에, 결국 통제되지 않은 승아 때문에 끔찍한 일이 벌어진 거라고, 소리치고 싶었다."
파악,경찰서 내부 위치 파악하기.
편의,학교 근처 편의점 앞에 버스 정류장이 있었다.
편의,다행히 편의점 앞에 파라솔과 의자가 있었다.
